eventID ,case concept:name,case REG_DATE,case AMOUNT_REQ,event concept:name,event lifecycle:transition,event time:timestamp
1571958030336,174839,2011-10-05T16:53:32.364+02:00,6000,A_SUBMITTED,COMPLETE,05-10-2011 16:53:32.364
1571958030337,174839,2011-10-05T16:53:32.364+02:00,6000,A_PARTLYSUBMITTED,COMPLETE,05-10-2011 16:53:32.501
1571958030338,174839,2011-10-05T16:53:32.364+02:00,6000,A_DECLINED,COMPLETE,05-10-2011 16:54:07.710
1576252997632,174842,2011-10-05T16:54:58.973+02:00,5000,A_SUBMITTED,COMPLETE,05-10-2011 16:54:58.973
1576252997633,174842,2011-10-05T16:54:58.973+02:00,5000,A_PARTLYSUBMITTED,COMPLETE,05-10-2011 16:54:59.079
1576252997634,174842,2011-10-05T16:54:58.973+02:00,5000,A_DECLINED,COMPLETE,05-10-2011 16:55:34.593
1580547964928,174845,2011-10-05T17:13:23.580+02:00,8000,A_SUBMITTED,COMPLETE,05-10-2011 17:13:23.580
1580547964929,174845,2011-10-05T17:13:23.580+02:00,8000,A_PARTLYSUBMITTED,COMPLETE,05-10-2011 17:13:23.752
1580547964930,174845,2011-10-05T17:13:23.580+02:00,8000,A_PREACCEPTED,COMPLETE,05-10-2011 17:14:02.316
1580547964931,174845,2011-10-05T17:13:23.580+02:00,8000,W_Completeren aanvraag,SCHEDULE,05-10-2011 17:14:02.700
1580547964932,174845,2011-10-05T17:13:23.580+02:00,8000,W_Completeren aanvraag,START,05-10-2011 17:57:35.682
1580547964933,174845,2011-10-05T17:13:23.580+02:00,8000,W_Completeren aanvraag,COMPLETE,05-10-2011 18:00:47.021
1580547964934,174845,2011-10-05T17:13:23.580+02:00,8000,W_Completeren aanvraag,START,05-10-2011 20:00:04.973
1580547964935,174845,2011-10-05T17:13:23.580+02:00,8000,W_Completeren aanvraag,COMPLETE,05-10-2011 20:00:11.534
1580547964936,174845,2011-10-05T17:13:23.580+02:00,8000,W_Completeren aanvraag,START,05-10-2011 20:00:47.415
1580547964937,174845,2011-10-05T17:13:23.580+02:00,8000,W_Completeren aanvraag,COMPLETE,05-10-2011 20:00:54.986
1580547964938,174845,2011-10-05T17:13:23.580+02:00,8000,W_Completeren aanvraag,START,05-10-2011 20:39:10.103
1580547964939,174845,2011-10-05T17:13:23.580+02:00,8000,A_ACCEPTED,COMPLETE,05-10-2011 20:48:09.957
1580547964940,174845,2011-10-05T17:13:23.580+02:00,8000,O_SELECTED,COMPLETE,05-10-2011 20:59:07.198
1580547964941,174845,2011-10-05T17:13:23.580+02:00,8000,A_FINALIZED,COMPLETE,05-10-2011 20:59:07.198
1580547964942,174845,2011-10-05T17:13:23.580+02:00,8000,O_CREATED,COMPLETE,05-10-2011 20:59:08.608
1580547964943,174845,2011-10-05T17:13:23.580+02:00,8000,O_SENT,COMPLETE,05-10-2011 20:59:08.650
1580547964944,174845,2011-10-05T17:13:23.580+02:00,8000,W_Nabellen offertes,SCHEDULE,05-10-2011 20:59:08.734
1580547964945,174845,2011-10-05T17:13:23.580+02:00,8000,W_Completeren aanvraag,COMPLETE,05-10-2011 20:59:09.847
1580547964946,174845,2011-10-05T17:13:23.580+02:00,8000,W_Nabellen offertes,START,05-10-2011 20:59:26.738
1580547964947,174845,2011-10-05T17:13:23.580+02:00,8000,W_Nabellen offertes,COMPLETE,05-10-2011 21:01:21.623
1580547964948,174845,2011-10-05T17:13:23.580+02:00,8000,W_Nabellen offertes,START,12-10-2011 11:39:13.054
1580547964949,174845,2011-10-05T17:13:23.580+02:00,8000,W_Nabellen offertes,COMPLETE,12-10-2011 11:40:46.114
1580547964950,174845,2011-10-05T17:13:23.580+02:00,8000,W_Nabellen offertes,START,13-10-2011 18:03:06.305
1580547964951,174845,2011-10-05T17:13:23.580+02:00,8000,W_Nabellen offertes,COMPLETE,13-10-2011 18:05:03.613
1580547964952,174845,2011-10-05T17:13:23.580+02:00,8000,W_Nabellen offertes,START,15-10-2011 14:47:07.383
1580547964953,174845,2011-10-05T17:13:23.580+02:00,8000,W_Nabellen offertes,COMPLETE,15-10-2011 14:49:14.178
1580547964954,174845,2011-10-05T17:13:23.580+02:00,8000,W_Nabellen offertes,START,17-10-2011 10:50:20.167
1580547964955,174845,2011-10-05T17:13:23.580+02:00,8000,O_SENT_BACK,COMPLETE,17-10-2011 10:51:58.844
1580547964956,174845,2011-10-05T17:13:23.580+02:00,8000,W_Valideren aanvraag,SCHEDULE,17-10-2011 10:51:59.025
1580547964957,174845,2011-10-05T17:13:23.580+02:00,8000,W_Nabellen offertes,COMPLETE,17-10-2011 10:52:00.327
1580547964958,174845,2011-10-05T17:13:23.580+02:00,8000,W_Valideren aanvraag,START,20-10-2011 13:18:49.289
1580547964959,174845,2011-10-05T17:13:23.580+02:00,8000,W_Nabellen incomplete dossiers,SCHEDULE,20-10-2011 14:17:26.554
1580547964960,174845,2011-10-05T17:13:23.580+02:00,8000,W_Valideren aanvraag,COMPLETE,20-10-2011 14:17:28.119
1580547964961,174845,2011-10-05T17:13:23.580+02:00,8000,W_Nabellen incomplete dossiers,START,20-10-2011 16:47:57.325
1580547964962,174845,2011-10-05T17:13:23.580+02:00,8000,W_Nabellen incomplete dossiers,COMPLETE,20-10-2011 16:49:20.274
